Name,GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Greg Anderson,82,11.7,50.0,0.0,60.0,6.3,1.0,0.7,1.5,1.7,1.0
Bimbo Coles,82,4.9,41.66666666666667,25.0,75.0,1.9,2.8,0.8,0.1,1.2,1.0
Paul Thompson,82,9.0,46.91358024691358,20.0,77.77777777777777,3.8,1.5,0.8,0.5,0.9,0.0
Chris Duhon,82,5.9,35.0,34.375,75.0,2.6,4.9,1.0,0.0,1.4,1.0
Joe Dumars*,82,9.4,47.945205479452056,50.0,79.3103448275862,1.5,4.8,0.8,0.1,1.9,1.0
Chris Kaman,82,6.1,45.28301886792453,0.0,70.58823529411765,5.6,1.0,0.3,0.9,1.9,1.0
Johnny Moore,82,7.4,47.61904761904762,0.0,61.904761904761905,2.4,4.5,1.5,0.3,1.9,1.0
Taj Gibson,82,9.0,49.35064935064935,0.0,66.66666666666666,7.5,0.9,0.6,1.3,1.4,1.0
Dwight Howard,82,12.0,51.80722891566265,0.0,68.0,10.0,0.9,0.9,1.7,2.0,1.0
Andre Iguodala,82,9.0,49.25373134328358,35.294117647058826,73.07692307692308,5.7,3.0,1.7,0.6,1.7,1.0
Joe Smith,82,15.3,45.6,33.333333333333336,77.08333333333334,8.7,1.0,1.0,1.6,1.7,1.0
Reggie Miller*,82,10.0,48.684210526315795,33.33333333333333,78.26086956521739,2.3,1.6,0.7,0.2,1.2,1.0
Baron Davis,82,5.9,41.509433962264154,21.42857142857143,63.15789473684211,2.0,3.8,1.2,0.2,1.7,1.0
Jim Les,82,1.7,31.25,0.0,77.77777777777777,1.1,2.6,0.3,0.1,1.1,1.0
Derrick McKey,82,8.5,49.20634920634921,25.0,77.77777777777777,4.0,1.3,0.8,0.8,1.3,1.0
Michael Smith,82,6.9,54.0,0.0,46.875,5.9,0.8,0.7,0.6,1.3,0.0
Craig Smith,82,7.4,53.57142857142858,0.0,60.86956521739131,5.1,0.6,0.6,0.2,0.9,1.0
Cedric Henderson,82,10.1,47.72727272727273,0.0,73.91304347826087,4.0,2.0,1.2,0.6,2.0,0.0
Louis Orr,82,10.5,48.83720930232558,0.0,80.0,4.4,1.6,0.7,0.3,1.5,1.0
Paul Millsap,82,6.8,51.0204081632653,0.0,68.0,5.2,0.8,0.8,0.9,1.1,1.0
Kerry Kittles,82,16.4,42.758620689655174,37.254901960784316,75.0,3.9,3.0,1.9,0.4,1.6,1.0
