Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,PER,PPM,Usage_Rate,True_Shooting_Percentage,Effective_FG_Percentage,Points_Per_Shot,Total_Rebound_Percentage,Offensive_Rebound_Percentage,Defensive_Rebound_Percentage,Assist_Percentage,AST_Ratio,Steal_Percentage,Block_Percentage,Stocks,Versatility_Index,Offensive_Versatility,Defensive_Versatility,Three_Point_Rate,Free_Throw_Rate,PTS_Per_Game,PTS_Per_36,REB_Per_Game,REB_Per_36,AST_Per_Game,AST_Per_36,STL_Per_Game,STL_Per_36,BLK_Per_Game,BLK_Per_36,TOV_Per_Game,TOV_Per_36,Box_Plus_Minus,Scoring_Consistency,Usage_Consistency,Offensive_Impact,Defensive_Impact,Overall_Impact,Points_Per_Touch,Production_Per_Possession,PTS_to_Usage_Ratio,AST_to_Usage_Ratio,2P%,Points_Per_Shot_Attempt,Physical_Impact
Greg Anderson,82,24.2,11.7,4.6,9.2,50.0,0.0,0.1,0.0,2.4,4.0,60.0,2.0,4.3,6.3,1.0,0.7,1.5,1.7,1.0,0.23780487804878048,0.4834710743801653,0.5231404958677686,0.5337591240875913,0.5,1.0675182481751826,0.15238863132432978,0.048377343277565016,0.10401128804676478,0.0048377343277565005,10.869565217391305,0.016932070147147753,0.03628300745817376,2.2,21.2,14.7,6.5,0.010869565217391306,0.4347826086956522,0.14268292682926828,17.40495867768595,0.07682926829268293,9.371900826446282,0.012195121951219513,1.487603305785124,0.008536585365853657,1.0413223140495866,0.018292682926829267,2.231404958677686,0.020731707317073172,2.5289256198347108,0.13256097560975608,0.8863636363636364,0.006379762144728885,0.5247933884297521,0.26859504132231404,0.7933884297520661,0.7358490566037736,1.378986866791745,22.364928909952607,1.9115323854660349,0.5054945054945055,1.2717391304347827,0.3512396694214876
Bimbo Coles,82,16.5,4.9,2.0,4.8,41.66666666666667,0.1,0.4,25.0,0.9,1.2,75.0,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1.0,0.1134146341463415,0.296969696969697,0.3956363636363636,0.4598348348348349,0.4270833333333333,0.9196696696696698,0.06740576496674057,0.02483370288248337,0.042572062084257206,0.019866962305986696,58.333333333333336,0.028381374722838137,0.003547671840354767,0.9,10.500000000000002,8.4,2.1,0.08333333333333334,0.25,0.059756097560975614,10.690909090909091,0.023170731707317073,4.1454545454545455,0.03414634146341463,6.1090909090909085,0.00975609756097561,1.7454545454545454,0.0012195121951219512,0.21818181818181817,0.014634146341463414,2.618181818181818,0.11597560975609758,0.8166666666666668,0.004824833702882483,0.4666666666666667,0.1272727272727273,0.593939393939394,0.49000000000000005,1.441317776252574,12.385110294117649,7.077205882352941,0.4318181818181818,1.0208333333333335,0.16969696969696968
Paul Thompson,82,21.1,9.0,3.8,8.1,46.91358024691358,0.1,0.5,20.0,1.4,1.8,77.77777777777777,1.5,2.3,3.8,1.5,0.8,0.5,0.9,0.0,0.17926829268292685,0.42654028436018954,0.4640758293838862,0.5060728744939271,0.47530864197530864,1.0121457489878543,0.1054213385735753,0.04161368627904288,0.06380765229453242,0.008322737255808576,18.51851851851852,0.02219396601548954,0.013871228759680962,1.3,15.600000000000001,12.0,3.5999999999999996,0.0617283950617284,0.22222222222222224,0.10975609756097561,15.355450236966824,0.046341463414634146,6.48341232227488,0.018292682926829267,2.559241706161137,0.00975609756097561,1.3649289099526067,0.006097560975609756,0.8530805687203791,0.010975609756097562,1.5355450236966823,0.11500000000000006,0.9090909090909091,0.0056594613339498315,0.4976303317535545,0.17061611374407581,0.6682464454976302,0.7317073170731707,1.447178002894356,19.393382352941178,3.2322303921568634,0.4868421052631579,1.1111111111111112,0.24170616113744073
Chris Duhon,82,26.5,5.9,2.1,6.0,35.0,1.1,3.2,34.375,0.6,0.8,75.0,0.3,2.3,2.6,4.9,1.0,0.0,1.4,1.0,0.15853658536585366,0.22264150943396227,0.29252830188679246,0.4644206549118388,0.4416666666666667,0.9288413098236776,0.05743212149102623,0.006626783248964565,0.05080533824206166,0.02164749194661758,81.66666666666667,0.02208927749654855,0.0,1.0,14.4,11.100000000000001,3.3,0.5333333333333333,0.13333333333333333,0.07195121951219513,8.015094339622642,0.03170731707317073,3.5320754716981133,0.059756097560975614,6.656603773584906,0.012195121951219513,1.3584905660377358,0.0,0.0,0.017073170731707315,1.90188679245283,0.1959756097560976,0.8676470588235294,0.003567418315692591,0.4075471698113208,0.12452830188679245,0.5320754716981132,0.450381679389313,1.4895330112721419,20.168988648090817,16.750515995872032,0.35714285714285715,0.9833333333333334,0.13584905660377358
Joe Dumars*,82,23.9,9.4,3.5,7.3,47.945205479452056,0.1,0.2,50.0,2.3,2.9,79.3103448275862,0.7,0.7,1.5,4.8,0.8,0.1,1.9,1.0,0.17926829268292685,0.39330543933054396,0.43832635983263607,0.5480410447761194,0.4863013698630137,1.0960820895522387,0.036738442698234515,0.01714460659250944,0.01714460659250944,0.02351260332687009,65.75342465753425,0.019593836105725074,0.0024492295132156343,0.9,16.6,14.899999999999999,1.6,0.027397260273972605,0.3972602739726027,0.11463414634146342,14.158995815899583,0.018292682926829267,2.2594142259414225,0.058536585365853655,7.2301255230125525,0.00975609756097561,1.205020920502092,0.0012195121951219512,0.1506276150627615,0.023170731707317073,2.8619246861924688,0.19878048780487811,0.9215686274509804,0.005345443412593123,0.5941422594142259,0.06694560669456068,0.6610878661087867,0.5562130177514794,1.524140752864157,21.445208094692628,10.950744558991978,0.47887323943661975,1.2876712328767124,0.10041841004184103
Chris Kaman,82,22.5,6.1,2.4,5.3,45.28301886792453,0.0,0.0,0.0,1.2,1.7,70.58823529411765,1.5,4.1,5.6,1.0,0.3,0.9,1.9,1.0,0.14634146341463414,0.2711111111111111,0.35324444444444447,0.5042989417989417,0.4528301886792453,1.0085978835978835,0.1456910569105691,0.03902439024390244,0.10666666666666666,0.005203252032520325,18.867924528301888,0.007804878048780488,0.023414634146341463,1.2,13.9,8.6,5.3,0.0,0.32075471698113206,0.07439024390243902,9.759999999999998,0.06829268292682926,8.959999999999999,0.012195121951219513,1.6,0.0036585365853658534,0.48,0.010975609756097562,1.44,0.023170731707317073,3.04,0.08682926829268296,0.8714285714285713,0.0043078590785907865,0.31555555555555553,0.23555555555555555,0.5511111111111111,0.6161616161616161,1.3337468982630274,17.268495218922997,2.8309008555611475,0.4528301886792453,1.150943396226415,0.3022222222222222
Johnny Moore,82,19.2,7.4,3.0,6.3,47.61904761904762,0.0,0.2,0.0,1.3,2.1,61.904761904761905,0.7,1.7,2.4,4.5,1.5,0.3,1.9,1.0,0.1731707317073171,0.3854166666666667,0.4752083333333334,0.5121816168327796,0.4761904761904762,1.0243632336655593,0.07317073170731708,0.021341463414634148,0.05182926829268293,0.027439024390243903,71.42857142857143,0.04573170731707318,0.009146341463414635,1.8,16.1,12.6,3.5,0.03174603174603175,0.33333333333333337,0.0902439024390244,13.875,0.029268292682926828,4.5,0.054878048780487805,8.4375,0.018292682926829267,2.8125,0.0036585365853658534,0.5625,0.023170731707317073,3.5625,0.19207317073170735,0.8809523809523809,0.0057952235772357735,0.6197916666666667,0.18229166666666669,0.8020833333333335,0.5,1.4957264957264957,15.572117492327925,9.469530907496711,0.49180327868852464,1.1746031746031746,0.21874999999999997
Taj Gibson,82,26.9,9.0,3.8,7.7,49.35064935064935,0.0,0.0,0.0,1.4,2.1,66.66666666666666,2.8,4.7,7.5,0.9,0.6,1.3,1.4,1.0,0.2182926829268293,0.3345724907063197,0.37263940520446104,0.5217996289424861,0.49350649350649345,1.0435992578849722,0.16320609302747305,0.060930274730256605,0.10227581829721645,0.003916946232659353,11.688311688311687,0.013056487442197845,0.028289056124761996,1.9,19.3,12.7,6.6,0.0,0.2727272727272727,0.10975609756097561,12.04460966542751,0.09146341463414634,10.037174721189592,0.010975609756097562,1.204460966542751,0.007317073170731707,0.8029739776951672,0.015853658536585366,1.7397769516728625,0.017073170731707315,1.8736059479553904,0.12085365853658539,0.9183673469387754,0.004544382990298306,0.3680297397769517,0.24535315985130113,0.6133828996282529,0.743801652892562,1.7580287929125136,24.152035115722263,2.4152035115722263,0.49350649350649345,1.1688311688311688,0.34944237918215615
Dwight Howard,82,32.6,12.0,4.3,8.3,51.80722891566265,0.0,0.0,0.0,3.4,5.0,68.0,3.5,6.5,10.0,0.9,0.9,1.7,2.0,1.0,0.2865853658536585,0.36809815950920244,0.3834355828220859,0.5714285714285714,0.5180722891566264,1.1428571428571428,0.17956007780936703,0.06284602723327846,0.11671405057608858,0.0032320814005686064,10.843373493975903,0.016160407002843033,0.030525213227592395,2.6,25.499999999999996,16.4,9.1,0.0,0.6024096385542168,0.14634146341463414,13.251533742331288,0.12195121951219512,11.042944785276074,0.010975609756097562,0.9938650306748467,0.010975609756097562,0.9938650306748467,0.020731707317073172,1.8773006134969323,0.024390243902439025,2.208588957055215,0.16548780487804876,0.9022556390977443,0.004676043692952267,0.39570552147239263,0.2791411042944785,0.6748466257668712,0.7407407407407406,1.822222222222222,31.296,2.3472,0.5180722891566264,1.4457831325301203,0.38650306748466257
Andre Iguodala,82,32.8,9.0,3.3,6.7,49.25373134328358,0.6,1.7,35.294117647058826,1.9,2.6,73.07692307692308,1.1,4.6,5.7,3.0,1.7,0.6,1.7,1.0,0.22317073170731708,0.27439024390243905,0.2909756097560976,0.5736868944416114,0.5373134328358208,1.1473737888832227,0.10172516359309935,0.019631171921475316,0.08209399167162403,0.010707911957168354,44.776119402985074,0.030339083878643664,0.010707911957168352,2.3,20.0,13.1,6.8999999999999995,0.2537313432835821,0.3880597014925373,0.10975609756097561,9.878048780487806,0.06951219512195123,6.25609756097561,0.036585365853658534,3.2926829268292686,0.020731707317073172,1.8658536585365855,0.007317073170731707,0.6585365853658538,0.020731707317073172,1.8658536585365855,0.19646341463414632,0.9677419354838709,0.0035484830458060684,0.3658536585365854,0.21036585365853658,0.576219512195122,0.6428571428571429,1.5513974419706302,30.930427493713324,10.310142497904442,0.5399999999999999,1.3432835820895521,0.24390243902439027
